,html,position,location,company,jobreq
505,data/html_job_postings/c3cac496578fb850_fccid.html,sr. data scientist,"Spartanburg, SC 29306",,"['Monitor consumer loan portfolio and optimize profit-based risk management decisions at all stages of the customer credit life cycle, including (but not limited to) new customer acquisition, underwriting, conversion, collections, and retention.\n', 'Develop real-time fraud and collection prevention models, and strategies to minimize fraud and improve recovery rate.\n', 'Independently designs experiments to enable longer term optimization of decisions, line assignment, and offer terms across our menu of financial products and customer segments.', '\nWorks with credit bureaus to evaluate new data sources and “Ad-Hoc” analysis as assigned.', '\nDevelop and implement advanced statistical and machine learning models across the customer lifecycle to include customer acquisition, onboarding (operational processes), credit underwriting, product optimization, and collections.', '\nCollaborate with Finance and Business Intelligence to build and improve monitoring of portfolio KPIs', '\nUnderstand, adhere to and enforce all corporate policies including, but not limited to, Advance America’s Creed, Code of Ethics and Information Security Policies']"
506,data/html_job_postings/2d35bd000fe21e96_fccid.html,digital network intelligence analyst,"Fort Meade, MD 20755",Principle/SME w/Poly Clearance,"['Perform DNI analysis for specified target sets and format the information for dissemination.', 'Perform technical metadata and content analysis of threat adversary automated information systems.', 'Perform Network Analysis to develop data sources.', 'Utilize linguist skills to characterize, analyze and reconstruct threat digital networks.', 'Utilize target development databases, analyze social and telecommunications networks and exploit high priority targets.', 'Perform sustained target analysis through the use of DNI/DNR analytic techniques.', 'Provide synthesized products to customers by researching, analyzing and reporting intelligence via the appropriate reporting vehicles.', 'Analyze network events to determine the impact on current operations and conduct all-source research to determine adversary capability and intent.', 'Develop and refine the daily operations of a growing DoD customer', ""Bachelor's degree in a relevant field or equivalent formal military training with 15 years of related experience or 20 year of related experience in lieu of degree."", 'Work experience must include 4+ years of Intelligence analysis experience within the DoD/IC.', 'Work experience with the following Tools/Databases: INTELINK, DISHFIRE, MARINA, PINWALE, UTT, TUNINGFORK, ASSOCIATION, BlackPearl, AGILITY, Analyst Notebook, TKB, ANCHORY, or MAUI, Grapevine.', 'Ability to perform technical analysis against target systems and networks, characterize target network capabilities and vulnerabilities, and support development of new techniques to exploit targets.', 'Basic understanding/experience with collection management and intelligence community databases.', 'Demonstrated experience in any of the following areas: SIGDEV; DNI analysis, mapping and reconstruction; CNE exploitation; Target templating; Social Network Analysis (SNA); Network vulnerability assessments; SIGINT product reporting; and/or Technical language analysis, development or exploitation.', 'Analysis experience with DNI/DNR.']"
507,data/html_job_postings/66b5c95adc241590_fccid.html,support data analyst,United States,,"['Essential Function\n', 'Microsoft SQL Server Management Studio\n', 'Crystal Reports design and formulas\n', 'Travel management', 'Writing and interpreting SQL, including experience with Microsoft SQL Server\n', 'Crystal Reports design and formulas, and travel management', 'We are Genuine', 'We are Relentless', 'We are Audacious', 'We are Scrappy', 'We are Passionate', 'We act with Integrity', 'We are Talented\n']"
508,data/html_job_postings/d8fab8c9b0c4d6ca_fccid.html,insurance data scientist,"Chicago, IL 60661",,"['You come in with 1-2 years of professional statistical modeling experience with solid knowledge of GLM, Machine Learning, and AI\n', 'Advanced proficiency with one or more statistical programming languages such as R or SAS\n', 'Experience writing intermediate SQL queries for data extraction\n', 'Ability to clearly articulate ideas to both technical and non-technical audiences\n', 'Your strong project management and time management skills including the ability to prioritize and contribute to multiple assignments simultaneously, delegating work when necessary, setting clear goals, and managing customer expectations\n', 'You have an advanced degree in fields of quantitative discipline such as Mathematics, Statistics, Engineering, Analytics and other related fields with advanced coursework in statistics\n', 'You have hands on experience in optimization of machine learning algorithm and experience in suing deep learning algorithm\n', 'Ph. D. degree in statistics/computer science from a highly accredited university\n', 'Contribute to advanced insurance analytics on topics including utilizing telematics data for risk differentiation, as well as other insurance IoT\n', 'Participate insurance analytics tool development projects\n', 'Collaborate with internal and external partners to deliver innovative analytical products and insights. You will be directly involved in the development of predictive modeling and business intelligence solutions for clients such as credit lenders, insurance carriers, and other financial services institutions\n', 'Contribute to projects involving descriptive, predictive, and prescriptive analysis leveraging a variety of techniques (such as segmentation, logistic regression, survival analysis, principal component analysis, Monte Carlo simulation, scenario and sensitivity analysis, and machine learning)\n', 'Lead small projects and/ or work streams as a part of larger projects; this may involve delegating tasks to other team members and managing the team to meet deliverables on time\n', 'Dig in by extracting data and performing segmentation and statistical analyses on large population datasets (using languages such as R, SAS, SQL, and Python on Linux and PC computing platforms)\n']"
509,data/html_job_postings/71a7e77480279ebf_fccid.html,data science intern,"San Francisco, CA",,"['\nProven ability to assume a strong sense of responsibility and ownership amidst ambiguity', '\nProven ability to handle challenging tasks and to multi-task', '\nAt least 1 year in the Master’s or Ph.D. program in Computer Science, Statistics, Operations Research, Engineering, Mathematics or a related quantitative field is required for this position;', '\nPreferred experience building models in financial services industry;', '\nGood knowledge of machine learning and statistical modeling methods for supervised and unsupervised learning. These methods include (but not limited to) regression analysis, clustering, outlier detection, novelty detection, decision trees, collaborative filtering, nearest neighbors, support vector machines, ensemble methods and boosting, neural networks and deep learning, feature selection, and factorization methods;', '\nProgramming skills in Python and R;', '\nAbility to work in a dynamic, cross-functional environment, with a strong attention to detail;', '\nEffective communication skills and ability to explain complex models in simple terms;', '\nStrong relationship building and collaborative skills;', '\nExceptional problem-solving skills.', ""\nExperience SoFi's dynamic & fast-growing environment"", '\nValuable experience to prepare you for future roles in FinTech, entrepreneurship, startups, or your preferred function', '\nLunch/Commute stipend', '\nFully stocked kitchen (snacks & drinks)']"
510,data/html_job_postings/89cf067a914ba21c_fccid.html,"web application developer, engineering data","Fremont, CA",,"['Design and develop web apps to analyze and visualize engineering, production and fleet data', 'Maintain and improve existing web apps to support Vehicle Engineering team', 'Create servers and database to manage engineering, production and fleet data', 'Degree in Computer Science or Engineering', 'Proficiency with front end languages: HTML, CSS, JavaScript, etc.', 'Familiarity with JavaScript frameworks: React, Vue, Angular, etc.', 'Familiarity with database technologies: MySQL, PostgreSQL, MongoDB, etc.', 'Proficiency with server side languages: Python, Ruby, Java, PHP, etc.', 'Experience in developing data visualization front end', 'Organizational and project management skills', 'Familiarity with web-based 3D visualization using WebGL and three.js', 'Familiarity with JIRA REST API', 'Appetite to diverge to or work with Data Scientist team', 'Knowledge and experience in statistical and data mining techniques: PCA, GLM/Regression, Random Forest, Boosting, etc.', 'Experience using statistical computer languages (R, Python, etc.) to manipulate data and draw insights from large data sets', 'Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks', 'Knowledge of 3D CAD / PLM systems such as CATIA']"
512,data/html_job_postings/0a22c5c79af5fcf8_fccid.html,data architect,"Raleigh, NC 27609",,"['Perform the necessary facilitation, analysis and design tasks related to the development of Enterprise Information Management and data architecture', '\nWork with our security and information risk management team to govern data more effectively, supporting the development of governance processes and structures', '\nResearch and monitor data technology trends to provide guidance for strategic change. Make recommendations on the use of emerging data management technology', '\nEstablish and manage the metadata management approach for the organization', '\nContribute to the evaluation and development of overall IT strategy and performance', '\nDevelop and support the maturity and adoption of an Enterprise Information Management program across the organization', '\nFacilitate data architecture working sessions across solution teams', '\nMaintain currency with leading and emerging data technologies including “big data” platforms, NoSQL databases, data streaming, in-memory data management, real-time analytics, cloud data services', '\nCollaborate with the various Business, Operations and IT stakeholders to define, establish and run a data governance processes and working groups as part of the overall architecture governance that would fit with current PTC culture', '\nWork with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.', '\nUse strong business acumen, as well as an ability to communicate findings, and mine vast amounts of data for useful insights', '\nUse these insights to influence how an organization approaches business challenges', '\nUse a combined knowledge of computer science and applications, modelling, statistics, analytics and math to solve problems.', '\nExtract data from multiple sources', '\nData exploration, mathematical/ statistical modelling, data analysis, and hypothesis testing', '\nDesign, development, and deployment of Predictive models and frameworks.', '\nDevelop custom data models and algorithms to apply to data sets', '\nUse predictive modelling to increase and optimize customer experiences, revenue generations, and other business outcomes.', '\nSift and analyze data from multiple angles, looking for trends that highlight problems or opportunities', '\nCommunicate important information and insights to business and IT leaders', '\nMake recommendations to adapt existing business strategies', 'Candidate must have worked as one or more role e.g. Data architect, Data modeler, Data integration developer/architect, ETL developer/architect', '\nMinimum of 3 plus year of hands-on experience in designing and implementing logical and physical Enterprise Data model, Datawarehouse and Datamart in cloud big data environment', '\nExcellent communication skills and business acumen to identify and articulate the business insights from data, process gaps and remediation to business executives and leaders', '\nStrong SQL and Python knowledge to prep massive data amount of data and explore to answer business questions', '\nMinimum five years of experience in data warehousing, business intelligence and reporting environment and out of which at least two years in cloud', '\nShould be proficient in using data modeling tools such as ERWIN to design conceptual, logical and physical models in MDM and Data warehousing environment.', '\nDeveloper deeper knowledge on enterprise data assets and its relations to provide guidance to data developers, business analysts and data scientist', '\nHands on experience in designing data as a service using REST APIs', '\nExperience in setting up data catalog tools, process and governance to manage metadata, semantic master data on data domains such as products, pricing, parts, customers, contacts, contracts and other enterprise data assets', '\nStrong SQL and Python knowledge to prep massive data amount of data and explore to answer business questions', '\nMinimum five years of experience in data warehousing, business intelligence and reporting environment and out of which at least two years in cloud', '\nShould be proficient in using data modeling tools such as ERWIN to design conceptual, logical and physical models in MDM and Data warehousing environment.', '\nDeveloper deeper knowledge on enterprise data assets and its relations to provide guidance to data developers, business analysts and data scientist', '\nHands on experience in designing data as a service using REST APIs', '\nExperience in setting up data catalog tools, process and governance to manage metadata, semantic master data on data domains such as products, pricing, parts, customers, contacts, contracts and other enterprise data assets', '\nExperience using statistical computer languages (SLQ etc.) to manipulate data and draw insights from large data sets', '\nKnowledge of variety of machine learning techniques (clustering, decision tree learning, artificial neural networks) and their real world advantages / drawbacks', '\nKnowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage etc.)And experience with applications', '\nMin Excellent written and verbal communication skills for coordinating across teams.', '\nMin Expertise in Observation skills, Critical thinking, Innovative thinking, predicting trends and identifying patterns.', '\nMin Well-versed in quantitative analysis, research, data mining, trend analysis, customer profiling, clustering, segmentation and predictive modeling.', '\nMin Executing the data-driven planning process by building models and frameworks that connect business unit drivers to company financials and forecast to take the correct decision as per the business need.', '\nExcellent written and verbal communication skills for coordinating across teams.', '\nA drive to learn and master new technologies and techniques.', '\nThe right candidate will also be proficient and experienced with the following tools/programs:', '\nStrong programming skills with querying languages: SLQ, SAS, etc.', '\nExperience with Could architecture: Azure, AWS', '\nExperience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.', '\nExperience with testing tools such as Adobe Test & Target', '\nExperience with data visualization tools: Tableau, Raw, chart.js, etc.', '\nExperience with Adobe Analytics and other analytics tools', '\nC, C++, JAVA, Java Script or other programming languages', '\nExperience with Excel, Word, and PowerPoint.', '\nKnowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.', '\nExperience querying databases and using statistical computer languages: R, Python, SLQ, etc.', '\nExperience using web services: Redshift, S3, Spark, DigitalOcean, etc.', '\nExperience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.', '\nExperience visualizing/presenting data for stakeholders using: Periscope, Business Objects, D3, ggplot, etc.', '\nMinimum Bachelors/Masters in Computer Science, MIS or another quantitative field eg. Statistics, Mathematics']"
513,data/html_job_postings/fae2d659bf165ede_fccid.html,cyber intelligence analyst,"Charlottesville, VA 22911",,"['Conducts research, analysis, and correlation across a wide variety of all source cyber threat data sets.', 'Provides comprehensive analysis across the full spectrum of the Open Systems Interconnect (OSI) layers 1 - 7 against targeted facilities and infrastructure.', 'Researches, identifies, and verifies cyber threat adversary tools, tactics, and processes.', 'Performs detailed analysis of cyber targets to identify vulnerabilities and develop recommendations for operational opportunity to exploit those vulnerabilities.', 'Develop methodologies, tradecraft, and procedures for conducting facility centric cyber analysis against targeted infrastructure.', 'Maintains currency of Advanced Persistent Threat (APT) activities.', 'Performs CND trend analysis and threat intelligence reporting.', 'Contributes to the completion of milestones associated with specific projects.', 'Provides solutions to a variety of complex technical problems.', 'Experience with structured analytic tools such as Palantir.', 'Familiarity with a variety of the Social Network Analysis (SNA) concepts, practices and procedures.', 'Familiarity with critical infrastructure directives and supply chain risk management', 'Experience with information security and assurance principles and standards (NIST, ISO, etc.) and associated supporting technologies', 'Ability to assess and weigh current and evolving security threats in an operational environment', 'Self-motivated problem solver, ability to learn quickly', 'We’ve been named a Best Place to Work by the Washington Post.', 'Our employees value the flexibility at CACI that allows them to balance quality work and their personal lives.', 'We offer competitive benefits and learning and development opportunities.', 'We are mission-oriented and ever vigilant in aligning our solutions with the nation’s highest priorities.', 'For over 55 years, the principles of CACI’s unique, character-based culture have been the driving force behind our success.']"
514,data/html_job_postings/05e113c6cfd125f5_fccid.html,"quantitative business analyst, geo","Mountain View, CA",,"['\n2 years of experience in data analysis, visualization, or related field.', 'Experience with at least one data visualization tool (PLX, DasNav, Tableau, etc.).', 'Experience extracting insights from data and presenting findings.', ""\nMaster's or PhD in Statistics or related field.\n"", 'Proficiency with statistical data analysis (a/b tests, hypothesis testing, experiment setting, etc.) and creating models to answer various business questions.\n', 'Proficiency in a language for statistical computing (R, Python/pandas, Stata, etc.).', 'Use strong analytical and problem solving skills as well as interpersonal skills to bring together different data sets to unlock actionable insights and help stakeholders answer business questions.', 'Collaborate with stakeholders from internal teams.', 'Design and implement the architecture, tools, and processes needed to provide reports to support data-driven decision making.']"
515,data/html_job_postings/6aba0666a776f3f6_fccid.html,senior data scientist,"Pasadena, CA",,"['Hands-on experience with industry-standard predictive modeling solutions such as scikit-learn, xgboost, Spark ML, and H2O.ai in a production setting', 'Familiarity with diverse methods for supervised learning, unsupervised learning, ETL pipelines in general', 'A more nuanced understanding of cloud-based (Amazon Web Services) computing resources/infrastructure, especially the need for and methods of parallelization for analytics tasks', 'Experience in designing and implementing wrapper/tool/utility functions for automated tasks, to be used by less-technical Analytics team members, and organizing them into distributable, regularly maintained and tested R/python packages', 'Proficiency with source code management (git) and related code development/review workflows, as well as continuous integration tools like Travis and/or Jenkins', 'Masters degree in a quantitative, scientific, or engineering field and at least 2 years experience in a data science industry position', 'Advanced-level proficiency in either R or Python (baseline proficiency in both)', 'Intermediate-level proficiency with Apache Spark (via Python, R, Scala, and/or Java), with application to machine learning and/or ETL pipelines', 'Knowledge of diverse modeling algorithms for supervised learning, including most of the following: scikit-learn, xgboost, Spark ML, H2O.ai', 'Experience with most of the following AWS services: Redshift, S3, EC2, EMR, and Glue', 'Advanced-level proficiency with Linux/Unix operating system, command-line/shell environments, accessing remote machines and using Docker containers', 'Experience with git and github.com', 'Doctoral degree in a quantitative, scientific, or engineering field and/or at least 4 years experience in a data science industry position', 'Past work with household-level or person-level data sets including demographic, CRM, and/or self-reported (survey) data', 'Past work with time-stamped video consumption/viewing data or device usage data', 'Advanced-level proficiency in both R and Python (including class/function structure, package design and management)', 'Advanced-level proficiency with Apache Spark (via Python, R, Scala, and/or Java), including optimization for local and cluster scale applications\n', 'Experience with all of the following AWS services: Redshift, S3, EC2, EMR, and Glue', 'Knowledge of information security best practices', 'Comprehensive health and dental insurance for employees and their families\n', 'Life insurance\n', '401k with match, eligible for match after one year\n', 'Pre-tax flexible compensation plan for medical, transit, parking or dependent care expenses\n', 'PTO & Sick days—if you’re sick, you stay home\n', 'Work-from-home Fridays\n', 'A kitchen stocked with sodas, snacks, yogurt and other goodies\n', 'A tight-knit startup community who likes to eat! We celebrate everyone’s birthdays, have frequent team lunches, and do events in and out of the office\n', '605 is an active participant in conferences']"
519,data/html_job_postings/6de13082ce783972_fccid.html,sr. data and machine learning specialist,"Petaluma, CA 94954",,"['\nDesigning and testing new control and forecasting algorithms based on machine learning', '\nDesigning load disaggregation algorithms', '\nCreating toolsets for design and use of transactional algorithms', '\nWorking with Systems teams on integration of algorithms into embedded devices and cloud based backends', '\nWorking with Cloud team to develop database and API requirements', '\nProvide “proof of concept” designs', '\nWriting automated test code for validating algorithms on test systems', '\nDeveloping instrumentation hardware for collecting data for training sets', '\nExpert in Python and Pandas. Experience with other data analysis languages such as R and Julia is a plus.', '\nExperience with advanced machine learning toolkits such as TensorFlow and/or PyTorch', '\nKnowledge of load disaggregation algorithms', '\nDatabase Management with relational and/or time series databases (mySQL, InfluxDB, etc)', '\nFamiliarity with Agent-Based-Modelling (ABM)', '\nExperience with demand and PV generation forecasting techniques']"
520,data/html_job_postings/62aab025760e67db_fccid.html,data science intern,"Washington, DC",Summer 2020,"['Rising Seniors preferred', 'Computer Science, Statistics, or Math majors preferred', 'Excited about optimizing complex decision-making problems', 'Will work locally as part of a team']"
521,data/html_job_postings/5fbe13e86041900a_fccid.html,weather data specialist,"Seattle, WA",,"['\nInvestigate and explore new or improved weather datasets to identify those with potential to benefit TCC and its customers', '\nAcquire, validate, and process weather data to make it accessible in a fast-paced and cross-disciplinary research and development environment', '\nApply state-of-the-art verification techniques to evaluate the skill and utility of weather observations, analyses, and forecasts with respect to agronomic applications', '\nDesign and generate derived weather parameters focused on use by agronomic models or in decision making by farmers', '\nCollaborate with scientists across the organization to realize the full value of weather information', '\nWrite beautiful, robust, well-documented and well-tested research and library code', '\nMS in atmospheric science or a closely related discipline', '\n2+ years experience working with, and effectively employing, a wide variety of surface and remotely sensed weather observations as well as gridded analyses and forecasts', '\nExperience conducting research in atmospheric science', '\nExpertise across the spectrum of verification tools and metrics used for effective analysis of weather data quality in both skill and value', '\nExceptional programming skills with Python (including Pandas, Numpy, Scipy, and general scientific python libraries) or Matlab with demonstrated ability to write well-structured, well-tested, maintainable, performant, and well-documented code.', '\nPh.D. in atmospheric science or a closely related discipline', '\nExperience in production and display of verification results that clearly convey comprehensive evaluation of both deterministic and probabilistic weather data', '\nTalent in creating user-facing metrics and analysis that build trust and understanding of weather products with customers', '\nInsight into weather impacts on agriculture', '\nExperience with other programming languages like Scala, Java, or C++ and contributions to open source scientific software', '\nExcellent communication and presentation skills and the ability to convey rigorous technical concepts and considerations to non-experts', '\nSuperb medical, dental, vision, life, disability benefits, and a 401k matching program', '\nA stocked kitchen with a large assortment of snacks & drinks to get you through the day', '\nEncouragement to get out of the office and into the field with agents and farmers to see first-hand how our products are being used', '\nWe take part and offer various workshops, conferences, meet-up groups, tech-talks, and hackathons to encourage participation and growth in both community involvement and career development', '\nInspire one another', '\nInnovate in all we do', '\nLeave a mark on the world', '\nFind the possible in the impossible', '\nBe direct and transparent']"
522,data/html_job_postings/4a7894f539b77665_fccid.html,"temporary data analyst and visualization specialist, center for digital and data excellence","Seattle, WA 98121",,"['Please note this is a temporary opportunity, with an end date of March 30, 2020', 'Support the technical team in finalizing indicator definitions related to availability, access, uptake, scale and effective coverage for key MNCH Assets', 'Work with the Sr. MEL Officer and the Global Director, Living Labs to design and use an abbreviated version of the Collaborative Requirements Development Methodology (CRDM) to document the requirements for the database architecture, data visualizations and final dashboards', 'Coordinate the establishment of robust data systems across countries, including processes for data transformation, data management, data quality assurance, data visualization, and data analysis.', 'Lead the collation and management of source data, secondary data, and metadata for the gap map repository and database related to the availability, access, uptake, scale, and effective coverage of key MNCH assets', 'Contribute to development of data collection tools for primary data collection', 'Apply the “CRDM Lite” to work with the technical team and donor to design a framework and database architecture for the MNCHN asset tracker database', 'Work with external stakeholders to understand architecture of existing databases and data sets and how they can be leveraged and integrated with the end dashboards and visualizations', 'Clean, transform, analyze and pivot data, including merging data from multiple large datasets', 'Utilize Tableau or other visualization software to create visualizations of key indicators to support project evaluation questions and think through how the visualizations can support a mixed-methods approach.', 'Contribute to the analysis and interpretation of quantitative and qualitative data', 'Interpret visualization results and develop job aids or other resources for team members to support use of the data visualizations.', 'Iteratively design the visualizations and dashboard using incoming metadata and research data to allow for rapid cycle testing of visualizations with the technical team and donor until the final deliverable is met.', 'Contribute to, write and review publications as well as M&E sections in proposal documents.', 'A Masters degree in Public Health, Demography, Epidemiology, statistics, social sciences, Information Technology or a related field.', 'Training in graduate level statistics and relevant practical experience in quantitative and qualitative research methods.', 'Previous experience working with large data sets, including significant responsibilities related to data management, analysis, and visualization.', 'Understanding of and proficiency in a range of qualitative and quantitative performance analytic methods, including econometric and statistical methods (linear and logistic regression modeling and time series regression modeling) as well as case study and qualitative research methods.', 'Demonstrated experience using Tableau and/or other similar software as well as demonstrated experience using Power Query or other data translation software.', 'Experience using data visualization tools (Excel, Tableau, etc.) to create visualizations that effectively “tell the story”.', 'Proficiency in Microsoft Office suite including Word, Excel, Access, PowerPoint, and SharePoint.', 'Professional understanding of the importance of maintaining data integrity.', 'Strong attention to detail and time management skills.', 'Strong critical analysis and report writing skills.', 'Responsive to cross-cultural sensitivities.', 'Demonstrated ability to clean, transform, and pivot data, including merging data from multiple large datasets. The indicators of interest will be related to MNCHN, policy, market introduction, and scale up.', 'General aptitude in fundamental programming concepts. (Able to pick up a new programming language easily.)', 'Experience dealing with the challenges of keeping large quantities of data from various sources well-organized.', 'Experience creating data dictionaries, data models, and data flow diagrams.', 'Experience using qualitative analysis software (NVivo or Atlas.ti) and the integration of qualitative and quantitative methods.', 'Knowledge of standard data quality indicators and how to calculate them for a given dataset.', 'Experience with a human subjects review application process.', 'Proven ability to collaborate and work effectively with senior staff, colleagues, donors, partner organizations, stakeholders, local institutions and others at all levels.', 'Proven ability to work in a dynamic team environment with minimal supervision, anticipating needs and requests.']"
525,data/html_job_postings/a74cbd9c94a1536e_fccid.html,data scientist,"San Bruno, CA 94066",Customer Analytics,"['Deliver insights & recommendations in support of business challenges and decision making.', 'Deliver compelling presentation, data visualization and customer analysis.', 'Deliver dashboards and reports in support customer analytics initiatives.', 'Utilize analytical, statistical and programming techniques to analyze complex data sets to better understand customer behavior, build analytics capabilities, and identify customer experience opportunities.', 'Develop methods and advanced statistical models to understand and predict customer behavior and drivers of growth.', 'Manage multiple projects and business stakeholders at a time.', 'Manage offshore analytics resources to enable efficient delivery of project work.', 'Proven work experience as a data scientist or analyst.', 'Master’s degree in Statistics, Mathematics, Computer Science or related quantitative field or similar Bachelor’s degree with 3 years of analytics experience.', '2 to 3 years of experience working with and manipulating large data sets.', '2 to 3 years of experience with applied statistical skills, such as distribution, regression, etc.', '2 to 3 years of experience with SQL. Experience with Hadoop, Hive, or Spark a plus.', '2 to 3 years of experience with BI tools such as Tableau, Metabase, Periscope, or Looker.', '2 to 3 years of experience documenting, visualizing and presenting insights to stakeholders.', '2 to 3 years of experience working with statistical programming tools such as Python or R.', 'Excellent critical thinking skills with an emphasis on problem solving and decision making.', 'Excellent project and stakeholder management skills.', 'Excellent organizational and time management skills.', 'Excellent written and verbal communication.', 'Deliver insights & recommendations in support of business challenges and decision making.', 'Deliver compelling presentation, data visualization and customer analysis.', 'Deliver dashboards and reports in support customer analytics initiatives.', 'Utilize analytical, statistical and programming techniques to analyze complex data sets to better understand customer behavior, build analytics capabilities, and identify customer experience opportunities.', 'Develop methods and advanced statistical models to understand and predict customer behavior and drivers of growth.', 'Manage multiple projects and business stakeholders at a time.', 'Manage offshore analytics resources to enable efficient delivery of project work.']"
528,data/html_job_postings/8d4d76923b32650d_fccid.html,"data analytics manager, royalties and accounting","New York, NY 10011",,"['Manage a team of data analysts / scientists working with large data sets to solve complex problems in a dynamic environment', 'Manage the prioritization and delivery of configuration changes, testing and deployment for new product offerings and contractual requirements in our royalties and reporting systems', 'Manage the technical components of our monthly payable generation process ensuring the timely creation of payables, completion of quality checks, and analysis of payable outputs', 'Work with our engineers and data scientists to support the development of system and process enhancements to support royalties calculations, product configuration and reporting', 'Work with accounting team members to define requirements for ad-hoc data analysis and reporting, being able to work independently to propose solutions to address business needs', 'Support ad-hoc requests from various internal teams (Accounting, Legal, Licensing, Financial Planning, etc) as well as external music licensors that require analysis of royalties and streaming data', 'Work with a group of highly motivated individuals who are passionate about Spotify’s success', 'You have a minimum 5 years of experience using databases and analytic tools to solve business problems', 'You have experience managing and developing a team of data analysts / scientists', 'You have a degree in mathematics, statistics, computer science or another quantitative discipline', 'You have excellent verbal, written and interpersonal skills and the ability to prioritize and deliver results in a fast moving company with a wide variety of strategic initiatives', 'You have experience working with financial data including performing data reconciliations and quality assurance testing', 'The ideal candidate has previous experience working with configuring and testing royalties systems, and/or performing analysis royalty related data', 'SQL', 'Python / Pandas', 'Big Query / Google Cloud Platform', 'Tableau, Qliksense, or other visualization tools', 'Command Line Operations']"
530,data/html_job_postings/79b9aaafe5ce1cd1_fccid.html,data engineer,Guam,,"['미소의 Businees에 맞춰 대량의 복잡한 data set을 가공합니다.', '데이터 가공과 정보 검색을 위한 툴을 개발합니다.', 'Data pipeline을 개발하고 관리합니다.', 'Data Analyst와 Data Scientist가 미소의 product를 최적화하기 위한 데이터 툴을 개발합니다.', '유지와 확장이 가능한 효율적인 솔루션을 구축하고, 데이터 아키텍쳐를 발전시킵니다.', '지속적으로 data model을 개발합니다.', '미소 Product팀 개발자분들과 Data Analyst/Scientist와 협업하여 데이터 시스템 기능을 최적화 합니다.', '통계학, 컴퓨터 관련 학사 이상 (석/박사 우대)', '영어 fluent 필수(영어 업무가 가능하신 분)', '대량의 데이터를 활용해 제품혁신을 경험해보신 분', 'Java, Scala, Go, Python 중 하나 이상을 사용해 프로그래밍 경험하신 분', 'NoSQL database 또는 관련된 database 경험 있으신 분', '전문적인 통계지식과 직관을 보유하고, 가설 테스트/실험/인과 추론에 열정을 보유한 분 (quasi-experimentation a plus!)', '기타 데이터 분산 시스템(Elasticsearch, Druid) 활용가능 혹은 지식을 보유한 분', '확장성 데이터 아키텍쳐와 스키마 설계(schema design) 경험하신 분', 'Docker 개발 및 배포, Workflow 가능하신 분', 'Microservice를 효율적으로 사용하기 위해 Docker Swarm을 경험해보신 분', '개발 Cycle동안 데이터 기능통합 스킬과 민첩하고 빠른 Prototyping 스킬이 가능하신 분', '빅데이터 툴(hadoop, spark, etc.)을 사용한 경험이 있으신 분', '영문이력서 및 경력기술서', 'Stock Option 보상', '홈클리닝 서비스 제공', '4대보험 가입 및 퇴직금 별도', '비즈니스 조직과 Alignment 가 잘 맞아 마찰이 적은 Product 팀', '최신기종 맥북 Pro 및 듀얼 모니터 제공', '유연근무제 시행', 'Remote work 추후 고려가능', '휴게공간 라운지 이용 24/7', '조식 제공 및 간식, 커피, 크래프트 비어 무제한', '핫플레이스 성수 근무', 'Assembling large, complex data sets that meet functional/non-functional business requirements', 'Developing tools for data processing and information retrieval', 'Designing and implementing data pipelines', 'Creating data tools for data analytics and data scientist members that assist them in building and optimizing our products', 'Building maintainable, scalable, and deployable solutions', 'Evolving our data architecture to balance scale and performance', 'Constantly evolving our data model to balance scalability and performance', 'Collaborating with software engineers and data analytics/scientists to strive for greater functionality into our data systems.', 'An advanced degree in a quantitative or computational field', 'A proven track record of leveraging massive amounts of data to drive product innovation', 'Experience programming in one of these programming languages: Java, Scala, Go or Python', 'Experience working with relational and NoSQL databases', 'Strong statistical knowledge and intuition and a passion for experimentation, hypothesis testing, and causal inference (quasi-experimentation a plus!)', 'Knowledge and familiarity with other distributed data stores (Elasticsearch, Druid)', 'Experienced in scalable data architectures and schema design', 'Experience working with docker development and deployment workflows', 'Experience working with docker swarm as a tool to deploy a microservice', 'Agile, fast prototyping skills, including feature integration during all cycles of development', 'Experience with big data tools: hadoop, spark, etc. is a plus.']"
